CrunchBase Name,Name,Website,Description,Growth Score,Mindshare Score,Weekly Momentum,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,New Funding Employee Growth,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Interested,Alert,Custom List,Public List,Keywords,Has Mobile App,Has Google Play App,Has iTunes App,Date Added,crunchbase_uuid,type,primary_role,name,crunchbase_url,homepage_domain,homepage_url,profile_image_url,facebook_url,twitter_url,linkedin_url,stock_symbol,location_city,location_region,location_country_code,short_description,people
infocentricity,FICO (Fair Isaac Corporation),fico.com,infoCentricity was added in 2013.,-240,-240,1231,"2,519","2,473",46,2%,"2,244",275,12%,"256,991","261,459",-2%,"259,324",-1%,,,,,,,,,Undisclosed,1956,Exited (ipo),,Undisclosed,,Undisclosed,Bay Area,San Jose,Bay Area,CA,United States,North America,"B2B,B2C","analytics,banking,data storage,finance,information security,insurance,marketing,marketing analytics,security,storage",0,0,0,0,,No,No,No,4/4/13,2d4dfea1-4f6b-ba46-7e9e-15bb9e68f7f0,Organization,company,infoCentricity,https://www.crunchbase.com/organization/infocentricity?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,fico.com,http://www.fico.com,,,,,:,,,,"InfoCentricity, Inc. is an analytic solutions company, helps clients in discovering and leveraging key insights hidden in client's data.",
vitria-technology-inc,Vitria,vitria.com,Vitria offers an operational intelligence (OI) platform that empowers partners and customers to develop operational intelligence solutions.,-234,-234,147,155,154,1,1%,148,7,5%,"1,104","1,046",6%,893,24%,,,,,,,,,Undisclosed,1994,Exited (ipo),"Redpoint Ventures,Sutter Hill Ventures",$0Â ,,Undisclosed,Bay Area,Sunnyvale,Bay Area,CA,United States,North America,B2B,"analytics,customer support,marketing,marketing analytics",0,0,0,0,,No,No,No,3/27/14,2316544d-7807-8d5f-179f-200f71ac18e1,Organization,company,"Vitria Technology, Inc",https://www.crunchbase.com/organization/vitria-technology-inc?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,vitria.com,http://www.vitria.com/,https://www.crunchbase.com/organization/vitria-technology-inc/primary-image/raw,http://www.facebook.com/pages/Vitria-Technology/140311032680475,http://twitter.com/vitriatech,http://www.linkedin.com/company/166823,NASDAQ:VITR,Sunnyvale,California,USA,Vitria Technology provides operational intelligence and business process management solutions for businesses worldwide.,
the-nielsen-company,The Nielsen Company,nielsen.com,Nielsen Business Media is a mobile apps developer company which has developed apps like Interbike International Bicycle Exp,-227,-227,20,"29,921","29,378",543,2%,"27,659","2,262",8%,"1,473,199","1,470,850",0%,"1,508,950",-2%,,,,,,,,,Undisclosed,,Exited (ipo),"HarbourVest Partners,KKR,Level Equity",$0Â ,,Undisclosed,New York,New York,New York,NY,United States,North America,"B2B,Consulting","advertising,analytics,healthcare,market research,marketing,marketing analytics,transportation",0,0,0,0,,Yes,Yes,Yes,5/29/14,7724eb4e-16dd-9464-836e-4e6609895a10,Organization,company,The Nielsen Company,https://www.crunchbase.com/organization/the-nielsen-company?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,nielsen.com,http://www.nielsen.com,https://www.crunchbase.com/organization/the-nielsen-company/primary-image/raw,,,,:,,,,Global marketing research and business services company.,
akamai-technologies,Akamai,akamai.com,"Akamai is the leading content delivery network (CDN) services provider for media and software delivery, and cloud security solutions.",-222,-222,3,"5,740","5,313",427,8%,"5,204",536,10%,"1,718,192","1,719,530",0%,"1,718,649",0%,,,,,,,,,Undisclosed,1998,Exited (ipo),"Canvas Venture Fund,GGV Capital ,Industry Ventures,InterWest Partners",$0Â ,,Undisclosed,Boston,Cambridge,Boston,MA,United States,North America,"B2B,Consulting","analytics,healthcare,information security,pharmaceuticals,security",0,0,0,0,"broadcasting,content delivery,iaas",Yes,Yes,Yes,4/26/13,6827f18b-09a0-58e4-ab12-0c26b8d2bda5,Organization,company,Akamai Technologies,https://www.crunchbase.com/organization/akamai-technologies?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,akamai.com,http://www.akamai.com,https://www.crunchbase.com/organization/akamai-technologies/primary-image/raw,http://www.facebook.com/AkamaiTechnologies,http://twitter.com/Akamai,http://www.linkedin.com/company/akamai-technologies,NASDAQ:AKAM,Cambridge,Massachusetts,USA,"AkamaiÂ® is the leading provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.",
datawatch-corp,Datawatch,datawatch.com,Use Datawatch's self-service data preparation and visualization tools to bridge the gap between business and IT.,-222,-222,66,215,215,0,0%,218,-3,-1%,"13,767","15,026",-8%,"14,710",-6%,,,,,,37,17,272,211397.06,1985,Exited (ipo),,$57.5MÂ ,2/19/14,"$57,500,000 ",Boston,Bedford,Boston,MA,United States,North America,B2B,"analytics,data storage,finance,human resources hr,internet of things,marketing,marketing analytics,storage",0,0,0,0,,No,No,No,2/24/14,aa9707bd-e9f8-074d-c899-221014cb03bd,Organization,company,Datawatch Corp,https://www.crunchbase.com/organization/datawatch-corp?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,datawatch.com,http://datawatch.com,https://www.crunchbase.com/organization/datawatch-corp/primary-image/raw,http://www.facebook.com/Datawatch-Corporation/158242860872,http://twitter.com/Datawatch,http://www.linkedin.com/company/13408,NASDAQ:DWCH,Bedford,Massachusetts,USA,"Datawatch Corporation designs, develops, markets, and distributes business computer software products in the United States and",
ebiquous,Ebiquity,ebiquity.com,"eBIQUOUS offers subscription-based, mobile website services via automated web host licenses and social affiliate programs.",-209,-209,-193,536,530,6,1%,493,43,9%,"40,140","42,342",-5%,"39,159",3%,,,,,,,,,Undisclosed,1997,Exited (ipo),,Undisclosed,,Undisclosed,London,London,London,,United Kingdom,Europe,"B2B,B2C","advertising,analytics,human resources hr,marketing,marketing analytics",0,0,0,0,,No,No,No,4/4/13,4e98308e-7665-9826-e2ba-807b13bc77e4,Organization,company,EBIQUOUS,https://www.crunchbase.com/organization/ebiquous?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,ebiquity.com,https://www.ebiquity.com,https://www.crunchbase.com/organization/ebiquous/primary-image/raw,,http://twitter.com/ebiquous,,:,Santiago,Region Metropolitana,CHL,"eBIQUOUS offers subscription-based, mobile website services via automated web host licenses and social affiliate programs.",
salmat,Salmat,salmat.com.au,"Acquire customers, reach more through right targeting on a variety of media from print to digital by Salmat client solutions.",-183,-183,259,"2,030","2,025",5,0%,,,,"87,912",,,,,,,,,,,,,Undisclosed,1979,Exited (ipo),,Undisclosed,,Undisclosed,North Sydney,North Sydney,,,Australia,Oceania,,"analytics,customer support,marketing,marketing analytics",0,0,0,0,,No,No,No,11/13/14,365089d9-7d3e-c867-d6cf-8083c1425135,Organization,company,Salmat,https://www.crunchbase.com/organization/salmat?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,salmat.com.au,http://www.salmat.com.au,https://www.crunchbase.com/organization/salmat/primary-image/raw,,https://www.twitter.com/salmat,,ASX:SLM,North Sydney,New South Wales,AUS,Salmat is an advertising agency that helps brand reach their desired consumer base.,
convio,Convio,convio.com,"World's best Fundraising, P2P, Marketing, Advocacy and CRM Software for NonProfits - Online Fundraising, Donor Management & Database, Email Marketing, Advocacy, Peer to peer. Convio + Blackbaud Raiser's Edge Integration.",-180,-163,800,83,83,0,0%,82,1,1%,"17,093","16,399",4%,"570,120",-97%,,,,,,118,-15,457,22210.07,1999,Exited (ipo),"Adams Street Partners,Adobe Ventures,Austin Ventures,El Dorado Ventures,Granite Ventures,Imperial Bank,Pacific Partners,Rembrandt Venture Partners,Silverton Partners",$10.2MÂ ,5/16/07,"$10,150,000 ",Austin,Austin,Austin,TX,United States,North America,B2B,"analytics,crowdfunding,finance,marketing,marketing analytics",0,0,0,0,,No,No,No,4/4/13,0cea13d4-c67b-8424-1c7d-481a14a354f2,Organization,company,Convio,https://www.crunchbase.com/organization/convio?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,convio.com,http://www.convio.com,https://www.crunchbase.com/organization/convio/primary-image/raw,,http://twitter.com/convio,http://www.linkedin.com/company/6621,NASDAQ:CNVO,Austin,Texas,USA,"Convio provides software and servicesÂ enabling non-profit organizations to raise funds, influence public policy and support their processes.",
isentia,iSentia,isentia.com,"iSentia is the Asia-Pacific region's leading media intelligence company, providing over 5,000 clients with media information, analysis and advice 24/7/365. iSentia has more than 1,100 employees across 17 countries filtering information from over 10,000 print, radio and television media outlets and over 250 million online conversations per month. Our talented people, innovative search technology, comprehensive coverage and expert research provides the tools and insight to allow our clients to manage media relationships effectively, track and analyse issues of interest across all media, and discover and share valuable insights that drive smarter decisions.",-164,-164,3,0,1,-1,-100%,1,-1,-100%,"124,756","121,796",2%,"118,434",5%,,,,,,,,,Undisclosed,1982,Exited (ipo),,Undisclosed,,Undisclosed,Sydney,Sydney,,,Australia,Oceania,B2C,"analytics,marketing,marketing analytics",0,0,0,0,,No,No,No,7/18/14,37797d44-d47e-47bf-c8c3-e964720e32f4,Organization,company,Isentia,https://www.crunchbase.com/organization/isentia?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,isentia.com,http://www.isentia.com,https://www.crunchbase.com/organization/isentia/primary-image/raw,https://www.facebook.com/isentiacom/,https://twitter.com/isentia,https://www.linkedin.com/company/isentia,ASX:ISD,,New South Wales,AUS,"Isentia is a global leader in delivering crucial business intelligence, operating in 18 offices across the Asia-Pacific.",
exlservice-holdings,ExlService Holdings,exlservice.com,EXL looks deeper with proven business process solutions. We combine analytics and process management to help clients handle change and sustain growth.,-155,-155,-1073,"8,952","8,857",95,1%,"8,382",570,7%,"40,781","36,418",12%,"36,117",13%,,,,,,,,,Undisclosed,1999,Exited (ipo),Technology Crossover Ventures,$0Â ,,Undisclosed,New York,New York,New York,NY,United States,North America,"B2B,Consulting","analytics,finance",0,0,0,0,,No,No,No,4/4/13,ef7d056b-0d23-d3ac-7940-79451b891b73,Organization,company,ExlService Holdings,https://www.crunchbase.com/organization/exlservice-holdings?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,exlservice.com,http://www.exlservice.com,https://www.crunchbase.com/organization/exlservice-holdings/primary-image/raw,http://www.facebook.com/EXLService,http://twitter.com/exl_service,http://www.linkedin.com/company/163743,NASDAQ:EXLS,New York,New York,USA,EXL (NASDAQ: EXLS) is a leading provider of Transformation and Outsourcing services to Global 1000 companies in multiple industries,
