Name,Website,Description,Growth Score,Mindshare Score,Weekly Momentum,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,New Funding Employee Growth,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Hello,hello.is,"Sense by Hello wakes you up feeling great, improves your sleep, and helps you learn how the environment of your bedroom affects your rest.",1041,-23,-49,562,370,192,52%,242,320,132%,"223,308","218,698",2%,"161,679",38%,99,,,,,21,447,2209,18107.74,2012,B,Temasek Holdings,$50.5M,2015-06-15,"$40,000,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"consumer electronics,fitness and wellness,hardware,household & personal products,human resources hr,internet of things,personal products",,Yes,Yes,Yes
Muse,choosemuse.com,"InteraXon is a leader & innovator in the field of brain sensing technology. With the introduction of Muse: The Brain Sensing Headband, we're taking wearable technology, a $7B industry, to new frontiers. Harnessing the power of EEG, InteraXon seeks to create new opportunities for channel partners.",978,764,-423,158,148,10,7%,114,44,39%,"99,844","101,984",-2%,"83,613",19%,7,,,,,22,91,720,13888.89,2011,B,"A-Grade Investments,Ashton Kutcher,Felicis Ventures,Flextronics,Horizons Ventures,OMERS Ventures,ff Venture Capital",$17.2M,2015-05-07,"$10,000,000",Toronto,Toronto,,ON,Canada,North America,"B2B,B2C","consumer electronics,hardware,mobile",,Yes,Yes,Yes
21 Inc.,21.co,21 Inc is a Bitcoin mining pool. It is working on specially designed chips that will drive new equipment specifically aimed at doing this more efficiently.,840,558,1431,145,67,78,116%,33,112,339%,"4,955","5,158",-4%,"9,941",-50%,,,,,,24,129,474,244725.74,2013,B,"Andreessen Horowitz,Data Collective,Khosla Ventures,Qualcomm Ventures,RRE Ventures,Yuan Capital",$121.1M,2015-03-10,"$116,000,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,B2C","bitcoin,computer hardware,finance,hardware,payments",,No,No,No
Netatmo,netatmo.com,"Netatmo is an innovation company developing consumer electronics for a better and connected lifestyle. The first device launched was the Netatmo Personal Weather Station. In November 2013, the Thermostat for smartphone and in 2014 JUNE by netatmo, the first bracelet that measures sun exposure.",817,649,0,139,140,-1,-1%,127,12,9%,"667,613","675,329",-1%,"644,412",4%,"1,621","1,455",11%,544,198%,16,58,554,58150.72,2011,B,"Bpifrance,FSN PME Fund,Iris Capital,Legrand,Pascal Cagni",$32.2M,2015-11-05,"$32,215,500",Boulogne-Billancourt,Boulogne-Billancourt,,,France,Europe,B2C,"consumer electronics,hardware,internet of things",android,Yes,Yes,Yes
Cavium,cavium.com,"Leading provider of highly integrated semiconductor products that enable intelligent processing in enterprise, data center, cloud, wired and wireless service provider applications. Cavium specializing in multicore networking, communication processors, ARM-based & MIPS-based network Processors, video & security processors, server adapters, ethernet Switches, multicore SoCs and digital home.",812,317,0,"1,016",994,22,2%,934,82,9%,"20,330","24,933",-18%,"30,075",-32%,,,,,,72,317,4500,7777.77,2001,B,"Diamondhead Ventures,Menlo Ventures,Rembrandt Venture Partners",$75.0M,2011-03-14,"$34,999,964",Bay Area,San Jose,Bay Area,CA,United States,North America,B2B,"data storage,hardware,hardware peripherals,information security,security,semiconductors,storage",,No,No,No
GreyOrange Robotics,greyorange.com,GreyOrange uses advanced robotics to add efficiency and speed to the handling processes within the e-commerce and logistics space.,717,113,0,340,322,18,6%,228,112,49%,12,12,0%,81,-85%,,,,,,19,221,2284,13134.85,2011,B,"Blume Ventures,Tiger Global Management",$30.0M,2015-08-10,"$30,000,000",Gurgaon,Gurgaon,,,India,Asia,B2B,"hardware,physical storage,robotics,storage",logistics,No,No,No
Infinidat,infinidat.com,"INFINIDAT has brought to market InfiniBox™, a new generation of highly reliable, scalable, and efficient storage systems. NFINIDAT eliminates traditional storage paradigms and delivers superior systems, with scalable and innovative storage solutions, unlike anything in the market.",712,190,0,319,314,5,2%,291,28,10%,"6,134","5,218",18%,"2,229",175%,,,,,,22,238,3569,42028.58,2011,B,TPG Growth,$150.0M,2015-04-29,"$150,000,000",Herzliya,Herzliya,,,Israel,Asia,B2B,"cleantech,data storage,enterprise software,hardware,hardware peripherals,network / hosting / infrastructure,physical storage,storage,wind power",,No,No,No
Juicero,juicero.com,"Juicero has developed the first at-home, cold press juicer and juicing system.",679,390,0,109,107,2,2%,78,31,40%,767,759,1%,719,7%,,,,,,11,54,292,239726.03,2016,B,"ARTIS Ventures,Aspiration Growth,First Beverage Group,Google Ventures,Kleiner Perkins Caufield & Byers,Mindfull Investors,Steelhead Ventures,Thrive Capital,Two Sigma Ventures,Vast Ventures",$89.9M,2016-03-31,"$70,000,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"consumer electronics,consumer products,food & beverages,hardware",,No,No,No
Zymergen,zymergen.com,Zymergen uses a combination of robots and proprietary software to build and test thousands of new strains of DNA at a time,670,-99,281,193,181,12,7%,121,72,60%,841,846,-1%,611,38%,,,,,,5,79,281,462633.45,2013,B,"AME Cloud Ventures,Data Collective,Draper Fisher Jurvetson (DFJ),HVF,Iconiq Capital,Innovation Endeavors,Obvious Ventures,Prelude Ventures,SoftBank Group,Tao Capital Partners,True Ventures,Two Sigma Ventures",$174.0M,2016-10-11,"$130,000,000",Bay Area,Emeryville,Bay Area,CA,United States,North America,B2B,"biotechnology,cleantech,hardware,hardware peripherals,healthcare,pharmaceuticals,robotics,solar power,wind power",,No,No,No
Unifi,unifi.com,Leading producer and processor of multi-filament polyester and nylon textured yarns,664,-71,0,436,,,,,,,,,,,,,,,,,0,0,,0,1971,B,"Canaan Partners,Pelion Venture Partners,Scale Venture Partners",$17.5M,2017-03-14,"$17,500,000",Greensboro,Greensboro,,NC,United States,North America,,"hardware,hardware peripherals",,No,No,No
UBTECH Robotics,ubtrobot.com,"UBTECH Robotics developes and sells humanoid intelligent and educational robots for family, including Alpha 1s , Alpha 2,Cruiser and more.",657,423,520,59,53,6,11%,,,,,,,,,,,,,,7,35,146,684931.51,2012,B,"CDH Investments,CITIC Securities,QiMing Venture Partners",$120.0M,2016-07-24,"$100,000,000",Shenzhen,Shenzhen,,,China,Asia,,"consumer electronics,hardware,hardware peripherals",,No,No,No
Synthego,synthego.com,Synthego develops technology to build fully automated research facilities that enable biological research to be performed remotely.,620,385,0,41,40,1,3%,26,15,58%,86,122,-30%,114,-25%,,,,,,2,11,13,3153846.15,2012,B,"Founders Fund,Jennifer Doudn,Jerry Yang,Menlo Ventures,WI Harper Group",$49.5M,2017-01-04,"$41,000,000",Menlo Park,Menlo Park,,,United States,North America,B2B,"biotechnology,hardware,healthcare,pharmaceuticals",,No,No,No
Occipital,occipital.com,The Structure Sensor is the first 3D sensor designed specifically to work with the iPad. It gives mobile devices the ability to capture and understand the world in three dimensions.; ; This enables a new set of mobile apps: 3D object scanning; mapping of indoor spaces; and augmented reality games.,601,559,540,44,45,-1,-2%,43,1,2%,"24,492","24,893",-2%,"25,771",-5%,"1,251","1,160",8%,"1,144",9%,19,19,302,43046.36,2008,B,"Boulder 2008 Summer,Foundry Group,Grishin Robotics,Intel Capital,K9 Ventures,Shea Ventures,Techstars",$21.0M,2015-07-28,"$13,000,000",Boulder,Boulder,Boulder,CO,United States,North America,B2B,"hardware,human resources hr,media,mobile","android,photography",Yes,No,Yes
ROLI,roli.com,BLOCKS is a modular music studio that lets anyone shape music.,589,432,142,122,121,1,1%,103,19,18%,"24,665","18,618",32%,"16,539",49%,,,,,,10,37,231,116883.12,2009,B,"Balderton Capital,Business Growth Fund,First Round Capital,FirstMark Capital,Founders Fund,Foundry Group,Harmony Partners,Horizon Ventures,Horizons Ventures,IDG Ventures,Index Ventures,Tenaya Capital,Universal Music Group,Venrock",$43.5M,2016-05-04,"$27,000,000",London,London,London,,United Kingdom,Europe,B2B,"entertainment,hardware,music",,Yes,Yes,Yes
