Name,Website,Description,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
#TheNextIdea,thenextidea.org,As a web design and development company we provide custom strategic solutions for both web and mobile platforms operating since over a decade.,,,,,,,,3,8,-63%,8,-63%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Du Bois,Du Bois,,PA,United States,North America,"B2B,Consulting","analytics,marketing,marketing analytics",,No,No,No
2nd Watch,2ndwatch.com,2nd Watch is a public cloud workload management provider that helps enterprises accelerate adoption of the public cloud.,122,116,6,5%,100,22,22%,"7,684","6,456",19%,"7,077",9%,,,,,,0,10,0,2010,Late,"Columbia Capital,Delta-v Capital,Madrona Venture Group,Top Tier Capital Partners",$56.6M¾,3/3/17,"$19,000,000 ",Seattle,Seattle,Seattle,WA,United States,North America,B2B,"analytics,data storage,enterprise software,human resources hr,information security,security,storage",,No,No,No
360incentives,360incentives.com,"360incentives.com is an innovative full service incentives company that is powered by a state of the art analytics engine and provides rebate management, sales channel incentives, promotions management, payroll cards and prepaid card solutions to Fortune 100 companies.",140,143,-3,-2%,129,11,9%,"2,905","2,645",10%,"3,378",-14%,,,,,,13,42,249,2008,B,"Klass Capital,Leaders Fund,OMERS Ventures",$10.0M¾,1/27/16,"$10,000,000 ",Whitby,Whitby,,ON,Canada,North America,B2B,"analytics,e-commerce,human resources hr,marketing,marketing analytics",,No,No,No
a s k advertising,askadvertising.co.in,"ASK Advertising provides affordable Google SEO services, SEM, Business Advertising and Development, Pay Per Click PPC and Social Media Marketing Services.",,,,,,,,,,,,,,,,,,,,,2007,Exited (other),,Undisclosed,,Undisclosed,India,,,,India,Asia,,"advertising,analytics,marketing,marketing analytics",,No,No,No
Abacast,abacast.com,"Abacast is an online radio and video service provider offering an integrated suite of streaming, advertising and analytics services.",17,17,0,0%,19,-2,-11%,"65,882","63,594",4%,"55,734",18%,363,466,-22%,457,-21%,76,-2,85,2000,Exited (acquired),,"$500,000¾",11/11/10,"$500,000 ",Portland,Vancouver,Portland,WA,United States,North America,"B2B,B2C","advertising,analytics,marketing,marketing analytics",,Yes,Yes,Yes
ABEJA,abeja.asia,In-store marketing platform using computer vision and deep learning.,22,22,0,0%,,,,"15,575","17,232",-10%,"22,953",-32%,,,,,,7,16,66,2012,B,"Archetype,Innovation Network Corporation of Japan,Inspire PNB Partners,Salesforce Ventures",$7.0M¾,8/8/16,"$2,000,000 ",Minato-Ku,Minato-Ku,,,Japan,Asia,B2B,"analytics,healthcare,pharmaceuticals","analytics,big data",No,No,No
Access Information Management,accesscorp.com,"Access provides document storage, shredding, imaging, records management, tape vaulting, and breach monitoring in Latin America and the United States.",407,398,9,2%,359,48,13%,11,11,0%,4,175%,,,,,,66,261,4510,2004,Late,Summit Partners,$0¾,9/7/11,Undisclosed,Bay Area,Livermore,Bay Area,CA,United States,North America,B2B,"analytics,data storage,physical storage,storage",,No,No,No
Access Sports Media,accesssportsmedia.com,Enhance your arena advertising technique with help from Access Sports Media. Get your business noticed with scoreboard advertising and more!,15,14,1,7%,15,0,0%,9,11,-18%,23,-61%,,,,,,74,5,82,,C,"Bessemer Venture Partners,Columbia Capital,Mission Ventures",$20.0M¾,1/5/11,"$12,000,000 ",Los Angeles,Los Angeles,Los Angeles,CA,United States,North America,"Advertising,B2B,B2C","advertising,analytics,marketing,marketing analytics",sales,No,No,No
Access UK,theaccessgroup.com,"Access software helps over 10,000 UK businesses to work efficiently. With expertise across industries, we'll advise which products are suited to your needs.",775,804,-29,-4%,674,101,15%,"8,585","6,996",23%,"7,241",19%,,,,,,71,563,10857,2004,Late,Lyceum Capital,$0¾,3/30/11,Undisclosed,London,London,,,United Kingdom,Europe,B2B,"analytics,human resources hr",,Yes,Yes,No
ACI Worldwide,aciworldwide.com,"ACI Worldwide delivers electronic banking and payment solutions for more than 5,000 financial institutions, merchants, billers and processors around the world.","4,239","4,208",31,1%,"4,051",188,5%,"236,718","230,438",3%,"226,941",4%,,,,,,,,,1975,Exited (ipo),,$0¾,,Undisclosed,Naples,Naples,,FL,United States,North America,B2B,"analytics,banking,enterprise software,finance,information security,payments,security",,Yes,No,Yes
aCommerce,acommerce.asia,aCommerce is the leading ecommerce service provider in Southeast Asia bringing brands and retailers online to reach consumers in the world's fastest growing market.,544,528,16,3%,411,133,32%,"272,335","278,157",-2%,"276,488",-2%,,,,,,8,193,849,2013,Late,"Ardent Capital,Asia Pacific Capital,Blue Sky Capital,CyberAgent Ventures,DKSH,Ideosource,Inspire Ventures,JL Capital,MDI Ventures,Mitsui Sumitomo Insurance Venture Capital ,NTT DoCoMo Ventures,Sinar Mas Digital Ventures",$32.4M¾,7/18/16,"$13,600,000 ",Bangkok,Bangkok,,,Thailand,Asia,"B2B,SaaS","analytics,consulting and research,enterprise software,marketing,marketing analytics",,No,No,No
Act-On Software,act-on.com,"Provides cloud-based integrated marketing automation software that allows companies to manage online marketing efforts, email, mobile, web and social networking from a single dashboard.",406,416,-10,-2%,466,-60,-13%,"429,337","430,652",0%,"429,055",0%,,,,,,35,108,4201,2008,Late,"Norwest Venture Partners,Technology Crossover Ventures,Trinity Ventures,US Venture Partners,Voyager Capital",$72.0M¾,4/15/14,"$42,000,000 ",Portland,Portland,Portland,OR,United States,North America,B2B,"analytics,email,enterprise software,human resources hr,marketing,marketing analytics",,No,No,No
Actiance,actiance.com,"The Actiance platform enables organizations to use Unified Communication, Social & Instant Messaging with regulatory, legal, and corporate compliance.",512,508,4,1%,461,51,11%,"9,899","10,195",-3%,"9,306",6%,,,,,,22,144,1411,1998,B,"Credit Suisse,Golub Capital,JK&B Capital,NEXT Investors,Scale Venture Partners,Sutter Hill Ventures",$43.6M¾,5/14/15,"$28,000,000 ",Bay Area,Redwood City,Bay Area,CA,United States,North America,B2B,"analytics,finance,human resources hr,information security,marketing,marketing analytics,mobile,security,social networking","communications,social media",No,No,No
ACTIV Financial Systems,activfinancial.com,"ACTIV Financial is a leading financial market data vendor delivering complete market data systems, full market data management and global coverage.",104,105,-1,-1%,106,-2,-2%,"1,243","1,170",6%,818,52%,,,,,,85,26,595,2002,Late,Bessemer Venture Partners,$25.0M¾,1/20/10,"$25,000,000 ",Chicago,Chicago,Chicago,IL,United States,North America,B2B,"analytics,data storage,finance,human resources hr,marketing,marketing analytics,storage",,No,No,No
Actix,actix.com,Actix delivers automated network performance engineering and network status management systems for wireless carriers.,185,183,2,1%,197,-12,-6%,341,383,-11%,319,7%,,,,,,144,-13,114,1991,Exited (acquired),,$0¾,3/2/05,$0 ,London,London,London,,United Kingdom,Europe,B2B,"advertising,analytics,information security,marketing,marketing analytics,security",,No,No,No
Actual-Experience,actual-experience.com,We are the leader and innovator of digital experience quality. Our analytics are the missing link between digital experience quality and improvements in the digital business.,34,33,1,3%,26,8,31%,"3,139","3,310",-5%,"2,921",7%,,,,,,0,,,2009,Exited (ipo),IP Group Plc,$22.1M¾,3/1/17,"$22,060,170 ",Bath,Bath,,,United Kingdom,Europe,B2B,"analytics,human resources hr,marketing,marketing analytics",,No,No,No
Actuate,actuate.com,"We provide scalable solutions for creating & delivering dynamic, customized data-driven apps with embedded analytics that save time & improve brand experiences.",378,385,-7,-2%,420,-42,-10%,"140,594","145,376",-3%,"166,463",-16%,,,,,,,,,1993,Exited (ipo),"Accel Partners,Technology Crossover Ventures",$0¾,,Undisclosed,Bay Area,San Mateo,Bay Area,CA,United States,North America,B2B,"analytics,finance,marketing,marketing analytics,software development","business intelligence,open source",No,No,No
AcuityAds,acuityads.com,AcuityAds is a self-serve programmatic marketing platform that effectively enables marketers to connect with their most meaningful audiences online through digital media. Ready to start connecting intelligently? Get in touch now!,73,70,3,4%,64,9,14%,"20,503","22,580",-9%,"17,750",16%,,,,,,44,35,747,2009,Late,BEST Funds,$3.0M¾,7/18/13,"$3,000,000 ",Toronto,Toronto,New York,ON,Canada,North America,"Advertising,B2B","advertising,analytics,human resources hr,marketing,marketing analytics",advertising network,No,No,No
Acxiom,acxiom.com,"Acxiom's data and technology have transformed marketing - giving our clients the power to successfully manage audiences, personalize customer experiences and create profitable customer relationships.","4,922","4,864",58,1%,"4,931",-9,0%,"227,649","231,811",-2%,"233,355",-2%,,,,,,,,,1969,Exited (ipo),,Undisclosed,,Undisclosed,Little Rock,Little Rock,,AR,United States,North America,B2B,"advertising,analytics,human resources hr,marketing,marketing analytics,network / hosting / infrastructure,security","big data,databases",No,No,No
Adaptive Media,adaptivem.com,"Adaptive Media is the first company to connect website publishers, video content creators and advertisers in a single platform.",22,24,-2,-8%,37,-15,-41%,"10,362","10,862",-5%,"9,696",7%,,,,,,,,,2012,Exited (ipo),,$0¾,,Undisclosed,Los Angeles,Irvine,Los Angeles,CA,United States,North America,"Advertising,B2B,B2C,SaaS","advertising,analytics,marketing,marketing analytics,mobile","mobile advertising,video",No,No,No
AdColony,adcolony.com,Provides a proprietary HD video advertising platform for iOS and Android mobile devices.,127,126,1,1%,121,6,5%,"336,308","335,008",0%,"321,657",5%,,,,,,,,,,Exited (acquired),Insight Venture Partners,$0¾,,Undisclosed,Los Angeles,Los Angeles,Los Angeles,CA,United States,North America,"Advertising,B2B","advertising,analytics,human resources hr,marketing,marketing analytics,mobile","android,ios,mobile advertising,mobile video,video,virtual currency",No,No,No
AdEngage,adengage.com,AdEngage is an online advertising network allowing advertisers to buy ads and publishers to sell advertising space on their sites.,4,4,0,0%,3,1,33%,"391,399","395,633",-1%,"406,238",-4%,,,,,,,,,2004,Exited (acquired),Wavemaker Partners,$0¾,,Undisclosed,Los Angeles,El Segundo,Los Angeles,CA,United States,North America,B2B,"advertising,analytics,marketing,marketing analytics",,No,No,No
Adeze,adeze.com,"Adeze provides an advertising platform for automotive, entertainment, retail, and real estate sectors.",,,,,,,,18,10,80%,21,-14%,,,,,,107,,,,C,"MEP Associates,Maveron",$5.5M¾,4/10/08,"$2,500,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"advertising,analytics,e-commerce,marketing,marketing analytics",,No,No,No
Adform,adform.com,"Adform is the independent and open full stack ad-tech platform that encompasses data, creativity and trading, serving the global digital advertising ecosystem",784,780,4,1%,697,87,12%,"894,963","880,665",2%,"810,887",10%,,,,,,15,208,2016,2002,Late,"The Danish Pension Fund PKA,Via Venture Partners",$27.0M¾,12/11/15,"$21,500,000 ",Copenhagen K,Copenhagen K,,,Denmark,Europe,B2B,"advertising,analytics,enterprise software,marketing,marketing analytics",,Yes,Yes,No
adjust (formerly adeven),adjust.com,"mobile app tracking with adjust: business intelligence for mobile app marketers, combining attribution for advertising sources with analytics and store statistics.",127,121,6,5%,95,32,34%,"783,779","777,749",1%,"746,322",5%,,,,,,16,71,449,2012,Late,"Active Venture Partners,Capnamic Ventures,Highland Capital Partners Europe,Iris Capital,Mobile Embrace,Target Partners",$28.9M¾,10/21/15,"$17,000,000 ",Berlin,Berlin,,,Germany,Europe,"B2B,SaaS","advertising,analytics,marketing,marketing analytics,mobile","brand marketing,mobile advertising",No,No,No
Adobe Systems,adobe.com,"Adobe Investors, Inc. skillful house and room addition contractors in San Jose, CA.","14,323","13,988",335,2%,"12,346","1,977",16%,"38,402,109","39,411,949",-3%,"42,372,881",-9%,"93,622","83,307",12%,"74,836",25%,,,,1982,Exited (ipo),"Adobe Ventures,Coral Group,JK&B Capital,Kleiner Perkins Caufield & Byers",$0¾,,Undisclosed,Bay Area,San Jose,Bay Area,CA,United States,North America,"B2B,B2C","advertising,analytics,consulting,education,enterprise software,human resources hr,marketing,marketing analytics,media","android,consumer goods,design,flash,photo editing,photography",Yes,Yes,Yes
AdRoll,adroll.com,"Attract new prospects, convert customers, & grow customer value with AdRoll -- the retargeting + prospecting platform of choice for over 30,000 businesses.",767,765,2,0%,737,30,4%,"1,253,976","1,213,300",3%,"1,212,473",3%,,,,,,34,278,7790,2007,C,"Accel Partners,Floodgate Fund,Foundation Capital,Institutional Venture Partners (IVP),Max Levchin,Merus Capital,Northgate Capital,Performance Equity Management,Peter Thiel,Voyager Capital,Western Technology Investment",$89.0M¾,4/21/14,"$70,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,SaaS","advertising,analytics,human resources hr,marketing,marketing analytics","advertising network,big data,blogging",No,No,No
