id,created_at,text
854726332516896769,2017-04-19 16:00:12,b'Exceptional live video demands exceptional preparation. Build quality into every step of your video workflow:\xe2\x80\xa6 https://t.co/M5vdGs1THl'
854710760118919168,2017-04-19 14:58:19,"b'Is your app\'s first impression positioning you as the ""go-to"" app? Watch this video to learn how we can help:\xe2\x80\xa6 https://t.co/n0EtzeJsrD'"
854440465105661953,2017-04-18 21:04:16,b'RT @IneoQuest: Excited to announce that @Akamai is now using our cloud monitoring service for its #video assurance needs https://t.co/F3NkU\xe2\x80\xa6'
854409234485739522,2017-04-18 19:00:10,b'Our upcoming #OTT webinar will feature @markramberg and @nScreenMedia! Join us on 5/10 at 2pm EST:\xe2\x80\xa6 https://t.co/LshD9tTnuA'
854386550158831616,2017-04-18 17:30:01,b'.@TheSergioGarcia and live streaming were big winners at The Masters: https://t.co/aEndhrk77G'
854370009937739780,2017-04-18 16:24:18,b'RT @rvobrien: Excellent overview of the state of the #internet by James Kretchmar @Akamai at the @DubTechSummit https://t.co/KD4Y752tGv'
854363932345217025,2017-04-18 16:00:09,"b""#WebAttacks hit #enterprises without warning, are you prepared? Here's what you should know: https://t.co/nmZB9RBshi https://t.co/JH4YSybVeS"""
854077035945263104,2017-04-17 21:00:08,"b""The better your video performance, the better your business performance. Here's the science to prove it:\xe2\x80\xa6 https://t.co/T96gXQEIpB"""
853986451398299648,2017-04-17 15:00:10,b'A typical mobile user will use 10+ apps before 9am. @akhil_mic explains what this means for app owners:\xe2\x80\xa6 https://t.co/beDPltXwAi'
853624064484794369,2017-04-16 15:00:11,b'Available now for download: The Buyer\xe2\x80\x99s Guide to Cloud Security https://t.co/RUYdwHdsDr #CloudSecurity https://t.co/erEH33kSi2'
853601383483924480,2017-04-16 13:30:03,"b""Missing Edge? Relive your favorite moments with highlights from last year's conference: https://t.co/31zOf0QvFL\xe2\x80\xa6 https://t.co/KvJpxhIy3e"""
853291868314062849,2017-04-15 17:00:09,b'What happens when smart devices do dumb things? Find out in our latest Security Spotlight: https://t.co/1AyapZ5NxK https://t.co/sM5SV7ZDqZ'
