id,created_at,text
854683554013433856,2017-04-19 13:10:13,b'Our partner #IBM highlights the value of exporting data from Monarch to #WatsonAnalytics. https://t.co/RAv0JL55q4 #dataprep'
854012328962084864,2017-04-17 16:43:00,"b""Looking for free hands-on #Monarch training? We'll be in D.C. on 5/9! Sign up to learn the latest tips &amp; tricks: https://t.co/33tUXfZW1K"""
853968378209460224,2017-04-17 13:48:21,b'Solutions Review Unveils New #DataIntegration Buyer\xe2\x80\x99s Resource- \nhttps://t.co/5SgEqnICli'
853968106028498944,2017-04-17 13:47:17,b'The #bigdata industry rumor for banks and #dataprep solutions:\nhttps://t.co/80TjyVg5jx'
853967728830550016,2017-04-17 13:45:47,"b""RT @VentureFizz: We chat with @Datawatch's CEO, @MMorrisonDW, about how the company is bringing new products to market https://t.co/wfCZXge\xe2\x80\xa6"""
852959677889617920,2017-04-14 19:00:09,"b""Looking for free hands-on #Monarch training? We'll be in D.C. on 5/9! Sign up to learn the latest tips &amp; tricks: https://t.co/33tUXfZW1K"""
852929483288043524,2017-04-14 17:00:10,b'New to Monarch or interested in seeing how you can save time #blendingdata? Join the weekly live webinars: today.https://t.co/TrirwWEL7l'
852536909293400064,2017-04-13 15:00:13,b'8 pieces of advice for improving claim collection rates thanks to #BeckersHospital. https://t.co/GqmsIu7Obg'
852506670240550913,2017-04-13 13:00:03,"b""Looking for free hands-on #Monarch training? We'll be in D.C. on 5/9! Sign up to learn the latest tips &amp; tricks: https://t.co/33tUXfZW1K"""
851857392736374784,2017-04-11 18:00:03,b'The need for smart businesses to adapt to #enterprisedata socialization is clear. How can it affect your business? https://t.co/5A5bjley9P'
851836549180338176,2017-04-11 16:37:14,"b""Looking for free hands-on #Monarch training? We'll be in D.C. on 5/9! Sign up to learn the latest tips &amp; tricks: https://t.co/33tUXfZW1K"""
851834992841904129,2017-04-11 16:31:03,b'RT @Jonathan_G_King: Want to boost #healthcare revenue? @Datawatch\xe2\x80\x99s @fmoreno44 reveals how in @BeckersHR: https://t.co/1PblHjtpVS'
851487679523037184,2017-04-10 17:30:57,b'RT @2morrowknight: 6 Requirements for Success with the #InternetOfThings. (Source: @Datawatch)\n\n#IoT #IIoT #dataviz #DX #BigData https://t.\xe2\x80\xa6'
851487645788237824,2017-04-10 17:30:49,"b""RT @kcline6: We chat with @Datawatch's CEO, @MMorrisonDW, about how the company is bringing new products to market https://t.co/R3BYwC8Lyn\xe2\x80\xa6"""
851487567589650433,2017-04-10 17:30:30,b'Want to boost #healthcare revenue? @Datawatch\xe2\x80\x99s @fmoreno44 reveals how in @BeckersHR: https://t.co/rjdNAGrC5v'
850336146701905920,2017-04-07 13:15:10,"b""It's a full house here at the #Monarch training event in #NYC- helping customers get more out of their data. Thanks\xe2\x80\xa6 https://t.co/4ER269R7GC"""
850336105337688065,2017-04-07 13:15:00,"b""Work with #bigdata analytics in government? Here's how to solve those problems in public &amp; private sectors. https://t.co/DLSf4RjVyb"""
849986301055172608,2017-04-06 14:05:00,"b'Challenges, opps, and analytics that 835 reports can provide. BlueHillResearch https://t.co/JjlYsBIAGy'"
849683081246257154,2017-04-05 18:00:07,b'Check out @MikeMiliardHITN interview w/ @ahier on big data &amp; analytics tech turbocharging population health mgmt https://t.co/irFLQDt32h'
849626430338211840,2017-04-05 14:15:00,"b'Why #creditunions use #dataprep to get at the high volumes of data from Visa, Symitar, and more. https://t.co/6if9p2GO8C'"
849267818205937664,2017-04-04 14:30:01,"b""The struggle of compliance reporting is real for #HR profs, but there's a way to make #datablending more efficient. https://t.co/tHiEfadxR7"""
849249319807062016,2017-04-04 13:16:30,"b'.@MountainOneBank goes from roughly 4,316 man-hours of data reporting to 4. #datareconciliation #dataanalysis https://t.co/3TgnAgHv6T'"
848958295599706113,2017-04-03 18:00:05,b'#Healthcare providers are faced w/ challenges of #dataextraction &amp; blending. Learn to automate those projects-  https://t.co/wBR9HTkkzn'
848914991231229952,2017-04-03 15:08:00,b'Want free #Monarch training? Attend our upcoming session in NYC on 4/7. Details here: https://t.co/3kxipF0hyq'
848888287091621888,2017-04-03 13:21:53,b'RT @AltexSoft: 6 key requirements for #IoT success | @Datawatch\n\nhttps://t.co/rxcYWFrvNi\n\n#data #analytics https://t.co/pyUKrdh9cg'
848888197136474113,2017-04-03 13:21:32,b'RT @fmoreno44: Sharing Data https://t.co/ofiBXfcIAE @Datawatch Brings Data Socialization to Monarch'
848888182775181312,2017-04-03 13:21:29,b'RT @finconecta: Be aware of these 6 Requirements to succeed in the #IoT. via @Datawatch https://t.co/80sYNfCAE0 https://t.co/jDiX2j82tM'
847902570492375040,2017-03-31 20:05:00,b'Want to know how self-service #dataprep saves time collecting info from varied source formats? Find out! Free trial! https://t.co/QR5SCq5N4G'
847810979366883328,2017-03-31 14:01:03,b'Have you taken the Wisdom of Crowds\xc2\xae user survey yet? Only one week left to share your views on BI. https://t.co/MrRpTJXNDt'
847523842637647872,2017-03-30 19:00:04,b'How #marketers can manage #linkedin organic activity more effectively. https://t.co/YXoc2YUNgp'
847448335455866880,2017-03-30 14:00:02,"b'Today\'s the day! Don\xe2\x80\x99t miss our ""What\'s New in 14.1"" #Monarch webinar at 1 pm ET. Register now! https://t.co/xJ9oiWUApB'"
847165214445486082,2017-03-29 19:15:01,b'Learn how @FathomTravel quickly extracts data from multiple PDFs into Excel and optimizes operations with @Monarch. https://t.co/SNqWPrTeCw'
847085947909013505,2017-03-29 14:00:02,b'Take the Dresner Advisory Services survey - Complimentary findings for participants! https://t.co/MrRpTJXNDt'
846790147257487360,2017-03-28 18:24:38,b'RT @fmoreno44: Attn marketers! @Datawatch Monarch simplifies data blending of Google Analytics and Salesforce data https://t.co/vN37cEImS1\xe2\x80\xa6'
846783966971645953,2017-03-28 18:00:04,b'Putting tech to use in #datanalytics: rethinking how companies share and communicate data. #Forbes #BigData https://t.co/FLxtBiVzJc'
846695869558730753,2017-03-28 12:10:00,b'.@Datawatch users: Take a few minutes to share your views on BI in annual Dresner survey https://t.co/MrRpTJXNDt'
846419046325243904,2017-03-27 17:50:01,"b""Register for this week's live demo and Q&amp;A on self-service #dataprep scheduled for 3/28 at 1pm ET https://t.co/F9ZyNBU0Sj"""
846350090071629824,2017-03-27 13:16:00,"b""We're hitting the road on 4/7 to NYC for our next free #Monarch training event! Customers can register today: https://t.co/3kxipF0hyq"""
845608704019959808,2017-03-25 12:10:00,b'Hey @Datawatch users! Make your voice heard! Complete the Dresner Wisdom of Crowds user survey today https://t.co/MrRpTJXNDt'
845334418118119426,2017-03-24 18:00:05,"b""It's that time of year again! Streamline audit processes and reduce prep time with self-service #dataprep: https://t.co/VRMgVmMf6y"""
845274025337212929,2017-03-24 14:00:06,"b'Ready to get at the #data you need, faster? Start your 30-day self-service #dataprep free trial now! https://t.co/QR5SCq5N4G'"
844972040193003520,2017-03-23 18:00:07,"b""Register for our 3/30 webinar and see what's new in #Monarch 14.1 https://t.co/gr4wSWoo6O"""
844896543538892801,2017-03-23 13:00:08,b'Is data socialization the next big thing? @BernardMarr via @Forbes weighs in: https://t.co/QURXC6Flvc'
844624746721525761,2017-03-22 19:00:06,b'.@Modells upped its game to get faster access to customer #data with #Monarch. Check out the case study. https://t.co/qzBqY6b0B4'
844534132755648514,2017-03-22 13:00:02,b'A must read for every marketer! Measuring #LinkedIn organic activity with #datanalytics @MarketingProfs https://t.co/8B52pVZL2x @fmoreno44'
844266110442717184,2017-03-21 19:15:01,b'Calling all @Datawatch users! Data collection now open for 2017 Dresner Wisdom of Crowds\xc2\xae research. Take survey now! https://t.co/MrRpTJXNDt'
844221210372313089,2017-03-21 16:16:36,"b'.@Jon_Pilkington presents ""The Power of We"" during his presentation at #GartnerDA on data socialization for\xe2\x80\xa6 https://t.co/GkwBXKXgYU'"
844220846474510339,2017-03-21 16:15:09,"b'RT @SturtIson: Prep your messy data for #IBMi2 or Watson Analysis before you load it, fast. @Datawatch Monarch for IBM Analytics.  https://\xe2\x80\xa6'"
844220805550686208,2017-03-21 16:14:59,b'RT @ArcgateInc: Data Socialization Next Big Thing In Data Analytics? https://t.co/LvKkTmED2g #dataanalytics #bigdata @Datawatch #datasocial\xe2\x80\xa6'
844220677599215617,2017-03-21 16:14:29,b'RT @fmoreno44: Another full house for @Datawatch chief product officer @Jon_Pilkington presenting the next gen of self-service data prep at\xe2\x80\xa6'
844220649111478277,2017-03-21 16:14:22,b'RT @fmoreno44: Data socialization and collaboration is the key to turning data consumers into producers #GartnerDA https://t.co/iAPwxSDRoI'
844220629243052034,2017-03-21 16:14:17,"b'RT @fmoreno44: ""Machine learning added to data prep and socialization can recommend new relevant data to analysts"" #GartnerDA @Datawatch @J\xe2\x80\xa6'"
844220593436352513,2017-03-21 16:14:08,"b'RT @fmoreno44: Analysts, IT and data stewards can leverage a common system for accessing, preparing, certifying and consuming datasets #Gar\xe2\x80\xa6'"
844186863057420288,2017-03-21 14:00:07,b'How to quickly convert a PDF to #Excel with self-service #dataprep: https://t.co/dAUIYsDOxX'
843915067812921344,2017-03-20 20:00:06,b'.@InsideBIGDATA mentions increase in #healthcare providers using #Monarch for improved #data access &amp; #analysis. https://t.co/cRm8Or5BJx'
843832002608615426,2017-03-20 14:30:01,"b""Register for this week's live demo and Q&amp;A on self-service #dataprep scheduled for 3/21 at 1pm ET https://t.co/F9ZyNBU0Sj"""
842797690513739777,2017-03-17 18:00:02,b'Putting tech to use in #datanalytics: rethinking how companies share and communicate data. #Forbes #BigData https://t.co/FLxtBiVzJc'
842729738993045504,2017-03-17 13:30:01,b'Infographic: Transform the way you think about - and interact with - your company #data. https://t.co/0RZkXnrMcI'
842420232211841024,2017-03-16 17:00:09,b'.@Jon_Pilkington will be at #GartnerDA next week in London talking about #datasocialization for #dataprep.'
842359805494865920,2017-03-16 13:00:02,b'How #marketers can manage #linkedin organic activity more effectively. https://t.co/YXoc2YUNgp'
842072947141533696,2017-03-15 18:00:10,b'Introducing the next step in the evolution of self-service #dataprep: the socialization of enterprise #data. https://t.co/0RZkXnrMcI'
842001435713781761,2017-03-15 13:16:00,"b""We're hitting the road on 4/7 to NYC for our next free #Monarch training event! Customers can register today: https://t.co/3kxipF0hyq"""
841710552514756613,2017-03-14 18:00:08,"b""Our very own @Jon_Pilkington talks about getting social with #enterprise #data in today's @Data_Informed article. https://t.co/LDIWxOR3r9"""
841703286650605571,2017-03-14 17:31:16,"b'RT @vanguardsw: RT @Datawatch ""Is data socialization the next big thing in #dataanalytics? @Forbes discusses their point of view. "" https:/\xe2\x80\xa6'"
841703184867446785,2017-03-14 17:30:52,b'RT @fmoreno44: \xe2\x80\x9cGet Social\xe2\x80\x9d with Enterprise Data to Speed and Improve Analytics Outcomes https://t.co/YDO2q3CQgl #dataprep @datawatch'
841703164730585090,2017-03-14 17:30:47,b'RT @fmoreno44: Watch how Whitnell Financial used @Datawatch Monarch to turn reconciliation projects into operational process https://t.co/S\xe2\x80\xa6'
841650133452357636,2017-03-14 14:00:03,b'Heading to #GartnerDA next week in London? Attend our speaking session on 3/21 @ 2:45pm to learn about #datasocialization for #dataprep.'
841378359770767361,2017-03-13 20:00:07,"b""Thanks to @kcline for the @Datawatch @Monarch self-service #dataprep shout out in this week's @VentureFizz Tech Buzz Newsletter!"""
841333072029204486,2017-03-13 17:00:10,"b""Register for this week's live demo and Q&amp;A on self-service #dataprep scheduled for 3/14 at 1pm ET. https://t.co/OsTbun6Uo9"""
841309627388182528,2017-03-13 15:27:00,b'Monarch #dataprep is in high demand in #healthcare orgs seeking to overcome reconciliation and reporting. https://t.co/8PICHs4R1I'
841076219185631234,2017-03-12 23:59:31,b'RT @Ellen_Wilson_: Written by yours truly! https://t.co/y1BcXDvwJG'
839838264659947520,2017-03-09 14:00:20,b'RT @RTInsights: RT @datawatch: Day 2 here at #GartnerDA- our product team demoing #dataprep https://t.co/XTp58VCng4'
839490934412804096,2017-03-08 15:00:10,b'Day 3 here at #GartnerDA! Stop by booth 618 and see why we are trusted by 431 out of 500 Fortune companies. https://t.co/3JJZhPAUsk'
839475799971463168,2017-03-08 14:00:02,b'How #marketers can manage #linkedin organic activity more effectively. https://t.co/YXoc2YUNgp'
839207244860383232,2017-03-07 20:12:53,b'Day 2 here at #GartnerDA- our product team demoing #dataprep https://t.co/PylcMe5des'
839204010351550464,2017-03-07 20:00:02,b'#DataExtraction that used to take @fathomtravel 10-12 hours can now be completed in just 3. See how they did it:  https://t.co/1H1H9HIF69'
