id,created_at,text
853354744177451009,2017-04-15 21:10:00,b'RT @umbccsee: The UMBC CyberDawgs\xc2\xa0team took first place at the finals of the\xc2\xa0National Collegiate Cyb... https://t.co/PwcGYhNEGi https://t.c\xe2\x80\xa6'
852645655327772672,2017-04-13 22:12:20,"b'RT @umbccsee: The UMBC CyberDawgs are at the University of Texas, San Antonio competing in the natio... https://t.co/FPNyAC0vvx https://t.c\xe2\x80\xa6'"
850735579113414657,2017-04-08 15:42:22,"b'Google claims ""Fact Check now available in Google Search &amp; News"". We judge this true, as markup on this page states\xe2\x80\xa6 https://t.co/nr4WOlZ9ZH'"
849062545885466627,2017-04-04 00:54:20,"b'Paul Cuddihy &amp; Justin McHugh (GE Global Research) on SemTk (Semantics Toolkit), an open source technology stack\xe2\x80\xa6 https://t.co/tdHEtgRtMF'"
848555612363530242,2017-04-02 15:19:58,b'RT @umbccsee: UMBC seeks nominations and applications for Dean of the College of Engineering and Information Technology https://t.co/ZsmHRU\xe2\x80\xa6'
847990334957158404,2017-04-01 01:53:45,"b'RT @umbccsee: Create software/hardware projects to benefit social causes: Innovate Good 24-hr Hackathon at UMBC, 29-30 April 2017 https://t\xe2\x80\xa6'"
846535069506437125,2017-03-28 01:31:03,"b'Abhay Kashyap: a hands-on Introduction to Tensorflow &amp; machine learning, 10-11:30am Tue March 28, ITE 325b, UMBC https://t.co/gpcy1GGSKv'"
845659907290484737,2017-03-25 15:33:28,"b'RT @umbccsee: talk: Hacking, Security, and Technology In Public Consciousness: The Effects of Myth, 1pm ... https://t.co/SNOqUt560b https:/\xe2\x80\xa6'"
845292921326882816,2017-03-24 15:15:11,b'RT @umbccsee: Joshi &amp; Forno: CIA hack a reminder that cyberdefense strategies must be improved to protect sensitive information https://t.c\xe2\x80\xa6'
843213922404581378,2017-03-18 21:33:59,b'RT @umbccsee: Microsoft launches competition to create collaborative AI system to play Minecraft -  https://t.co/XPsSUAQeHy https://t.co/el\xe2\x80\xa6'
843101679180496897,2017-03-18 14:07:59,"b'RT @umbccsee: Free screening: CODE: Debugging the Gender Gap, 3-5 Fri 3/31, UMBC -  https://t.co/EnwXMy5A1X https://t.co/jcT1GuFJcB'"
843093331081084933,2017-03-18 13:34:48,"b'A hands-on introduction to TensorFlow and machine learning, 10am 3/28 https://t.co/gpcy1GGSKv'"
842722325858521090,2017-03-17 13:00:34,"b'SemTk: The Semantics Toolkit from GE Global Research, 4/4 https://t.co/9QByKtJENW'"
842401402592870401,2017-03-16 15:45:20,"b'Mid-Atlantic Student Colloquium on Speech, Language and Learning (MASC-SLL), 6 May 2017, George Washington Univ.\xe2\x80\xa6 https://t.co/DXamGou06C'"
841684181818191873,2017-03-14 16:15:21,b'RT @UMBC: Anupam Joshi @UMBCCSEE discusses the recent Wikileaks news + what it may mean for auto security on @CBSBaltimore https://t.co/8HU\xe2\x80\xa6'
841684059529084928,2017-03-14 16:14:52,"b'RT @umbccsee: talk: Phase synchrony in heart-brain interactions predicts personality and emotions, 1pm 3/17 https://t.co/ATpCQU0d28 https:/\xe2\x80\xa6'"
841675344574857216,2017-03-14 15:40:14,b'new paper: App behavioral analysis using system calls https://t.co/n3nDspmPfc'
840668167961792513,2017-03-11 20:58:04,"b""UMBC's Anupam Joshi comments on security vulnerabilities in modern Internet-connected vehicles\xe2\x80\xa6 https://t.co/Uqaqpr55tP"""
840189116037943296,2017-03-10 13:14:29,b'The Semantics Toolkit https://t.co/9QByKtJENW'
839874480361074692,2017-03-09 16:24:14,b'RT @umbccsee: UMBC cybersecurity experts Anupam Joshi and Rick Forno assess the Wikileaks \xe2\x80\x98Vault7\xe2\x80\x99 CIA data leak https://t.co/WDfYcoFCwj ht\xe2\x80\xa6'
838388646449381377,2017-03-05 14:00:04,"b""Andrew Crapo (GE Global Research) on OWL as a KR language and GE's SADL, the Semantic Application Design Language\xe2\x80\xa6 https://t.co/4UYyyl3PZD"""
