id,created_at,text
854848382178873346,2017-04-20 00:05:11,b'#FICOBlogs - #risk Video: Scotiabank Cencosud Cuts Model Development Times by +50% https://t.co/1Gh9jwfqUs'
854848243355799552,2017-04-20 00:04:38,b'#FICOBlogs #Analytics #Optimization - Video: Scotiabank Cencosud Cuts Model Development Times by +50% https://t.co/rIXlYHADCA'
854848223491629056,2017-04-20 00:04:33,b'#FICOBlogs - #CustomerEngagement - Video: Scotiabank Cencosud Cuts Model Development Times by +50% https://t.co/69El8CvMaC'
854791090796470274,2017-04-19 20:17:31,b'Curious how analytics keeps members happy &amp; retains them for the full term of their mortgage? @BSABuildingSocs\xe2\x80\xa6 https://t.co/JxXNP4NChV'
854788349651021824,2017-04-19 20:06:38,"b""RT @FICOcloud: Everyone's listening to the new @FICO #podcast. Hear from the experts about Decoding #Analytics https://t.co/KY2yRqvNdR http\xe2\x80\xa6"""
854769612478701570,2017-04-19 18:52:11,b'#FICOBlog - #Scotiabank Cencosud Cuts Model Development Times by +50% @ScotiaCencosud #FICO #video #casestudy \nhttps://t.co/gby7vBfilF'
854767365640380416,2017-04-19 18:43:15,"b'@infomgmt Web #Seminar  Less artificial, more intelligence \xe2\x80\x93 The future of #analytics May 4, 2pm ET #FICO #AI https://t.co/srDry06XNl'"
854756876596150273,2017-04-19 18:01:34,b'5 Key Elements of an Effective #Onboarding Process #advancedanalytics #FICOSolutions https://t.co/3rie0f39g5'
854747776944570373,2017-04-19 17:25:25,b'Will we be seeing you in Chicago? Join us @Forrester Digital Transformation 2017 and catch our session 5/10 12:30 C\xe2\x80\xa6 https://t.co/PYugtbxDkh'
854711753938268160,2017-04-19 15:02:16,b'Does your origination process make it hard to prove objective consistent decisions? #FICO can help.\xe2\x80\xa6 https://t.co/5FkUFMOl1g'
854701615860854786,2017-04-19 14:21:59,b'6 Steps to Lift Customer Relationship Value by @fico #adaptivecontrol #analyticmodeler https://t.co/CtgszyLBTu via @SlideShare #FICO'
854688240300937216,2017-04-19 13:28:50,b'Make every #decision better than the last @FinancierWW #FICO https://t.co/9fu1VJE3I1'
854651149777080320,2017-04-19 11:01:27,b'Find out how #AI can be less artificial &amp; more \xe2\x80\x98intelligent.  Attend our webinar with @infomgmt @ScottZoldi May 4.\xe2\x80\xa6 https://t.co/vHMgB8vqM9'
854635947887124482,2017-04-19 10:01:03,b'#FICOBlog: Are Your #Fraud Alert Replies Being #Spoofed? #CLI #CallingLineIdentity #SMSFraud https://t.co/UuZcdIAN9u'
854417451823616000,2017-04-18 19:32:49,"b'RT @ScottZoldi: @lisamorgan @InformationWeek My recent @FICO blog dives a bit deeper: ""How to Build Credit #Risk Models Using #AI and Machi\xe2\x80\xa6'"
854364431194755072,2017-04-18 16:02:08,"b'#Credit #Scoring, #TheMatrix, &amp; #Pizza restaurants. Check out this video to learn what they have in common with #AI https://t.co/3dqPmdw4p1'"
854338823454679041,2017-04-18 14:20:23,b'#HGF2017 @FICO &amp; @operationhope alliance empowering consumers and community uplift through financial literacy\xe2\x80\xa6 https://t.co/g1SITIszUi'
854338123173646337,2017-04-18 14:17:36,b'5 Key Elements of an Effective #Onboarding Process by @FICO #advancedanalytics #analytics https://t.co/ZUDe0rzGo2 via @SlideShare'
854319831746785283,2017-04-18 13:04:55,b'@MatrixIfs Partners with #FICO to Offer Advanced Anti-Financial Crime Solutions #FICOTonebeller #ML #KYC\xe2\x80\xa6 https://t.co/oDX0JgkTtD'
854314310415331332,2017-04-18 12:42:58,b'RT @PRNAlert: Fighting #moneylaundering and #financial crime - @Matrix-IFS partners with @FICO https://t.co/TmSeOlXlxq https://t.co/6hPz9lf\xe2\x80\xa6'
854273528786558976,2017-04-18 10:00:55,b'#Tech &amp; #GenD are changing #debtmanagement expectations. #DigitalGen #communicationchannels https://t.co/YsfkmrSpw4 https://t.co/KOz1GDWjCr'
854184335494311937,2017-04-18 04:06:30,b'RT @ScottZoldi: Extract the \xe2\x80\x98intelligence\xe2\x80\x99 in #AI: Attend my @FICO @infomgmt #webinar on 5/4 at 11 am PT/2 pm ET. Register! \xe2\x80\xa6https://t.co/Z\xe2\x80\xa6'
854078067458945024,2017-04-17 21:04:13,b'RT @OperationHOPE: #News: @FICO teams up with @OperationHOPE to help people better understand their financial health https://t.co/Kc7eyuEQR\xe2\x80\xa6'
854032012100988928,2017-04-17 18:01:13,b'Uplift of 35% in @ficohsa_banco profitibility per account with its #creditline #FICODecisionOptimizer strategy https://t.co/U0HynTbLbZ'
854006037631860737,2017-04-17 16:18:00,b'17 Financial Crime Predictions for 2017 by @fico #ai #aml https://t.co/VtO51LmmZq via @SlideShare'
