id,created_at,text
854950760785772545,2017-04-20 06:52:00,"b'RT @NielsenFrance: Sur la derni\xc3\xa8re p\xc3\xa9riode, le CA du drive \xc3\xa0 +10% et celui des magasins de proximit\xc3\xa9 urbaine \xc3\xa0 +6% #Nielsentrends https://t\xe2\x80\xa6'"
854854627812143105,2017-04-20 00:30:00,b'Q: What else can advertisers do to optimize their messaging? A: use neuroscience. More: \nhttps://t.co/p4joIVfcGt'
854816885552152577,2017-04-19 22:00:01,"b""Congratulations to Dr. Carl Marci @CMBiometrics for inclusion in @AdAge's 25 Marketing Technology Trailblazers list\xe2\x80\xa6 https://t.co/8K9K0LJaLe"""
854771587416981508,2017-04-19 19:00:01,b'Diversity best practices &amp; goal-setting were front &amp; center at Employee Resource Group Leadership Summit 2017\xe2\x80\xa6 https://t.co/eWSw4gFduE'
854733831798235136,2017-04-19 16:30:00,b'RT @DEADLINE: Nielsen Says It Sees Significant TV Viewing Lifts From New Measures https://t.co/9EGBYw73OK https://t.co/N6nEDi85fj'
854718738620436480,2017-04-19 15:30:01,b'Nielsen And Google Join Forces To Help Marketers Accurately Measure The ROI Of Their Digital Media Investments\xe2\x80\xa6 https://t.co/ga3B9xGGns'
854680985048317952,2017-04-19 13:00:00,b'We\xe2\x80\x99ve launched our 9th employee resource group! Learn how our employees help build our diverse &amp; inclusive culture: https://t.co/nBRYnNcnwl'
854429831517409281,2017-04-18 20:22:01,"b'@LouiseCKeely, our global retail practice leader, was recently named a Woman to Watch by Retail Leader (@RtlLdr)\xe2\x80\xa6 https://t.co/6TRxAt9qrB'"
854405928715550720,2017-04-18 18:47:02,b'Did you know: We have more than 100 chapters of our employee resource groups in 70% of the countries where we work\xe2\x80\xa6 https://t.co/u82y0gTkWF'
854388809043247104,2017-04-18 17:39:00,"b'In the U.S., in-store meal kit sales totaled $80.6 million annually, up 6.7% from the previous year. https://t.co/Q76DK899DW'"
854340493257441283,2017-04-18 14:27:01,"b""From our blog: 'Canadians Have a Taste for Convenience at Breakfast' https://t.co/GyoyIwuCOv https://t.co/oy0hDTWeWO"""
854061913860435968,2017-04-17 20:00:02,b'New Zealanders regularly indulge in fast food. Find out which are favourites:\nhttps://t.co/JQnSfmKoWc https://t.co/Gpwf7WVdKR'
854052089621868544,2017-04-17 19:21:00,"b'With just 15% of Canadians eating breakfast at home, brands need to catch these consumers on the go! https://t.co/F4AgjXPipQ'"
854005284825595905,2017-04-17 16:15:01,"b'In January, the News/Talk radio format posted its best tune-in numbers in the U.S. since November of 2012\xe2\x80\xa6 https://t.co/lv7GiPX4XL'"
853996364187009025,2017-04-17 15:39:34,"b""From our blog: 'Getting to Know Today's Meal Kit Shoppers' https://t.co/iS4v66h3B6 https://t.co/BSXnfOEDfL"""
853956215487033345,2017-04-17 13:00:02,b'Did you know: TV ad spend in the U.S. totaled 85 billion dollars last year https://t.co/Lb4aZCCCwx #NYIAS https://t.co/AuIb3zQv7D'
853676867177652225,2017-04-16 18:30:00,"b'Last year, Easter candy sales in the U.S. totaled $1.3 billion https://t.co/F5XNSWgy29'"
853246536389668864,2017-04-15 14:00:01,b'Chocolate Easter candy drove $422 million in sales in the two weeks leading up to the holiday last year in the U.S. https://t.co/s2GdJE7AbM'
853042688505020416,2017-04-15 00:30:00,"b'Did you know: In the U.S., the beer category saw just over 2,000 new products enter the market in 2016 https://t.co/CTK0mIKIpf'"
852959641663406080,2017-04-14 19:00:00,b'Automotive marketers spent 13 billion dollars on TV ads in the U.S. last year https://t.co/9NzJTUYZzb #NYIAS'
852929443094024197,2017-04-14 17:00:00,b'The number of new products launched in the U.S. beer category last year was 23% less than just two years ago https://t.co/7B32W8PptP'
852906793529462784,2017-04-14 15:30:00,"b'Baby Boomers in the U.S. seek food ingredients that are high in fiber, heart healthy and full of antioxidants: https://t.co/9UnDtdD1nd'"
852661426095345665,2017-04-13 23:15:00,"b'Enabled smart TVs are now in almost 30% of U.S. homes, up from 22% in January 2016 https://t.co/shQgg3hU3u'"
852619754150006785,2017-04-13 20:29:24,"b'Find out what Molly Poppie, VP of Data Science, spends her days focusing on at @Nielsen: https://t.co/WpQ4weSC3Z https://t.co/4SsexmPFdB'"
852616127863824385,2017-04-13 20:15:00,b'Men are 40% more likely to purchase meal kits than their female counterparts across all generations https://t.co/MYMOi7rLoL'
852544405550632960,2017-04-13 15:30:00,"b'Budget, resources &amp; time don\xe2\x80\x99t have to be barriers to innovation. Test ideas overnight before launching in the U.S.: https://t.co/A5oKFgOvbq'"
852506660845342720,2017-04-13 13:00:01,"b'Applying the right neuroscience tools can capture a more complete view of an experience, second-by-second\xe2\x80\xa6 https://t.co/SouMAUrXrb'"
