id,created_at,text
854900889005510656,2017-04-20 03:33:49,"b""Only one retailer can be the cheapest. For everyone else, there's experience - A great takeaway from today's ACRS V\xe2\x80\xa6 https://t.co/eX5drNo6Ax"""
854817143766036480,2017-04-19 22:01:03,b'Turn up your letterbox marketing and boost brand awareness with online catalogues. https://t.co/eoVeqqBB91 https://t.co/j6yjChlsMh'
854454760086306816,2017-04-18 22:01:04,"b'[Case Study] Learn how Jax Tyres got their shoppers revved up and ready to buy, online. https://t.co/Wiy6JnjOB3 https://t.co/Fyrer9rTMP'"
854092363635019776,2017-04-17 22:01:02,b'Reaching new customers remains the top challenge for mid-tier marketers: https://t.co/r5FwDaLool https://t.co/rDcUjCbteV'
853729872291782656,2017-04-16 22:00:37,"b""Here's why leading marketers are prioritising brand safety with #SEO: https://t.co/r6cVzWK2TQ https://t.co/btpPfa3fMs"""
852642842782695426,2017-04-13 22:01:09,b'5 ingredients to crafting a stellar email marketing strategy. https://t.co/IqeVYiRhnR https://t.co/CrJxmUfWud'
852280450676645888,2017-04-12 22:01:08,b'Want to make an entrance with your email marketing? Learn how to tailor your campaigns with our fashion ebook:\xe2\x80\xa6 https://t.co/VmdbpkIAg9'
851918042816802816,2017-04-11 22:01:03,b'Email is the channel of choice for ROI at $38 for every dollar spent. Read how other channels compare:\xe2\x80\xa6 https://t.co/tczWN9RxF8'
851555608276987907,2017-04-10 22:00:52,b'[Case Study] A localised flyer campaign helped this telco franchise ring in an ROI of 3:1. Learn how:\xe2\x80\xa6 https://t.co/tTi8THqiYi'
851193110575165440,2017-04-09 22:00:26,b'Is your business ready to evolve with AI? 5 factors to consider when adding chatbots to your contact centre.\xe2\x80\xa6 https://t.co/wVmkQ9RwLs'
850151307038031873,2017-04-07 01:00:41,"b""Salmat's CTO, Dave Glover joins the panel at #CRNPipeline to chat IT trends &amp; cloud strategy via @ArtisGroup https://t.co/OlZdmn6mpC"""
850106129438920707,2017-04-06 22:01:10,b'Is whipping up your email strategy not the cakewalk it seemed to be? Get stuck into A/B testing today.\xe2\x80\xa6 https://t.co/VNGT1iM1Oc'
849743728558395392,2017-04-05 22:01:07,"b""Learn how Howards Storage World used Lasoo's digital catalogue data to stock more of what shoppers wanted in-store.\xe2\x80\xa6 https://t.co/O3Yjq5zdwE"""
849447278632894464,2017-04-05 02:23:07,b'RT @netstarter: Congratulations to our client @sass_and_bide for winning the Best Website Design award globally at #MagentoImagine #Imagine\xe2\x80\xa6'
849400573824819201,2017-04-04 23:17:32,b'RT @netstarter: Delighted to win #Magento partner of the year for APAC!! Our fourth year running for partner awards! #MagentoImagine #Imagi\xe2\x80\xa6'
849381341644947459,2017-04-04 22:01:07,b'Are you part of the 87.6% of mid-tier marketers who failed to invest in search in 2016? Maximise the power of #SEO\xe2\x80\xa6 https://t.co/sldyfMvByP'
849018933776666625,2017-04-03 22:01:02,b'Want to lift engagement of your email marketing? Learn how to write a striking subject line here.\xe2\x80\xa6 https://t.co/3ebKwbeAtC'
848731816668409856,2017-04-03 03:00:08,"b'Good luck in Las Vegas, Netstarter clients Retail Apparel Group and sass &amp; bide - #MagentoImagine Award finalists: https://t.co/YJrjGnmhcR'"
848656442492166144,2017-04-02 22:00:37,b'73.5% of mid-tier marketers plan their marketing less than six months ahead. Avoid getting stuck in the short-term.\xe2\x80\xa6 https://t.co/B67UtpRxw7'
847554332727943168,2017-03-30 21:01:14,"b'Are you helping your customers find the right answers, fast? Make it simpler with a self-service content hub.\xe2\x80\xa6 https://t.co/nntygvN6uF'"
