id,created_at,text
852625072153952257,2017-04-13 20:50:32,b'#Unification for #IoTAnalytics generates more #Substantial #BusinessValue. https://t.co/EZgZT1FdIk https://t.co/rNcT2W4RLO'
850096889806454784,2017-04-06 21:24:27,b'#Retail is the most dynamic segment for #IoTAdoption for gaining the ability to track &amp; manage #SupplyChain activit\xe2\x80\xa6 https://t.co/kUdQRFi5hz'
847565122386116612,2017-03-30 21:44:06,b'Writing code is bottleneck in #IoTAnalytics projects. @VitriaTech Low Code/No Code #VisualDev Environment can help!\xe2\x80\xa6 https://t.co/XZsCCZ6k4a'
845081110568611840,2017-03-24 01:13:32,"b'If the Oil &amp; Gas Industry leveraged advances in IoT &amp; advanced analytics, they could cut CapEx by 20% - Learn  more https://t.co/nBzeFhFeSV'"
839227914872745984,2017-03-07 21:35:01,b'We enjoyed a @HarvardBiz report that highlights how #bigdata complexity are hurdles for an #IoT implementation - https://t.co/cm1flXfc8J'
831881311157616641,2017-02-15 15:02:14,"b'Sensors, smart meters &amp; smart grids generate massive data. Learn how #IoTAnalytics adds significant business value\xe2\x80\xa6 https://t.co/SXYAHhsXKE'"
829761902691676161,2017-02-09 18:40:28,b'#VIA self service diagnostic capability reveals root cause &amp; insight needed to address challenging #IoT use-cases - https://t.co/ZnuSNZ1xjq'
826181996472856581,2017-01-30 21:35:12,"b""#IoTAnalytics is a major challenge! That's why #VIA has real-time, historical, predictive &amp; prescriptive analytics - https://t.co/rvWx1h4CTw"""
824653196891131904,2017-01-26 16:20:18,"b""It may be winter, but the heat continues to go up for #IoTAnalytics.  We've seen 4 main themes dominate predictions- https://t.co/zB3mBk6dP5"""
822580783248449537,2017-01-20 23:05:16,b'There are already many projections on how #IoTAnalytics will change business in 2017. Learn the challenges of #IoT - https://t.co/XIfgj8ZFOo'
821789123979706378,2017-01-18 18:39:29,"b'A study by @NTTComAsia was reported by @networks_asia stating #IoTAnalytics is changing #supplychain, we know how - https://t.co/FhovoWVtO0'"
816795975985438720,2017-01-04 23:58:30,"b""Ready for #IoTAnalytics in 2017? This article by \n@garyorenstein at @memsql is the best round-up we've seen so far- https://t.co/pDjZfNRMn1"""
809508360089468928,2016-12-15 21:20:07,b'Interesting research from @McKinsey_MGI on Industrial IoT.  Predictive maintenance still top application - https://t.co/KYT7g8RBqX'
808841996714524672,2016-12-14 01:12:14,b'@McKinsey_MGI reported on Industrial #IoT. Not surprised to see #predictivemaintenance remain the top application - https://t.co/KYT7g8RBqX'
799336954068234240,2016-11-17 19:42:35,"b'Thanks @dmenningervr, we enjoyed the discussion w/ you about @Vitriatech VIA, &amp; hearing your insights about the #IoTAnalytics market.'"
797214024559534080,2016-11-11 23:06:49,"b""Why is #IoTAnalytics more challenging than traditional #analytics? @VitriaTech CTO shares the lessons he's learned - https://t.co/tF01ZSKSZe"""
794306249768607744,2016-11-03 22:32:22,b'We are excited about our recent announcement of VIA \xe2\x80\x93 a major new version of our #IoTAnalytics Platform -\xe2\x80\xa6 https://t.co/G8bLBdh64Y'
789540596700614657,2016-10-21 18:55:21,b'Recently @lmilic posted on@SYSCONmedia naming @VitriaTech as a well-emerging player in #IoTAnalytics. Read More... https://t.co/7N7Nq8nSsd'
789175519359094784,2016-10-20 18:44:40,"b'Use Code ""UAW16VITRIA"" to get $200 off thanks to @VitriaTech for @utilanalytics week in Atlanta, GA Oct 31-Nov 2.\xe2\x80\xa6 https://t.co/an2eSGS7qP'"
788512899245416448,2016-10-18 22:51:39,b'Did you miss @VitriaTech Fall #IoTAnalytics Newsletter?  Sign up so you get the #IoT content right in your inbox. https://t.co/c0iflBoshx'
755057669052964864,2016-07-18 15:12:31,b'Very interesting research on IoT from @cloud_comp_news. 45% of developers say IoT is important to digital strategy  https://t.co/7jCrvrZxqD'
754015992947302400,2016-07-15 18:13:16,b'Good balanced piece by @StepsAwayMobile outlining the potential and also pitfalls for the adoption of IoT in retail https://t.co/qwW6jL05UZ'
753332551805177857,2016-07-13 20:57:31,b'@fhalper at #TDWI is one of our industry\xe2\x80\x99s best analysts.  She really nails it with her comments in this article https://t.co/sBITMHbnIS'
753293282562760709,2016-07-13 18:21:28,b'Join us today at 5pm for a Roundtable at #IoTEvolution w/@VitriaTech CTO and Co-Founder Dale Skeen.  https://t.co/6UvG4oBSWJ'
753004714497835009,2016-07-12 23:14:48,b'Important reality check by @guydaniels from GSA group study around #IoT and #Smartcities https://t.co/BaDS2uHuvG https://t.co/jkRzc13mpV'
752564998900154368,2016-07-11 18:07:32,"b'@VitriaTech is at #IoTEvolution in Vegas through Wed. If you\xe2\x80\x99d like to meet up, email: iotanalytics@vitria.com - subject line: IoT Evolution'"
752548982987993088,2016-07-11 17:03:53,"b'Behalf of the user = business value, and #IoTAnalytics is a key way to do that  #IoTEvolution https://t.co/hzPxBHEsqv'"
752545932126744576,2016-07-11 16:51:46,"b'@KenBriodagh Best of Luck.  Will you be joining @VitriaTech for the Fog, Analytics and Data Sessions this afternoon?'"
752544920343228416,2016-07-11 16:47:45,b'@IoTEvolution Proud to be a part of this #IoT event.  Looking forward to today. https://t.co/yUjDfMsqlc'
752544640079843328,2016-07-11 16:46:38,"b""Want to get a handle on Advanced #IoTAnalytics?  Join @VitriaTech 's CTO Dale Skeen at #IoTEvolution today at 2pm https://t.co/yUjDfMsqlc"""
752544251989204992,2016-07-11 16:45:05,"b""Today at 1pm @VitriaTech 's CTO Dale Skeen is giving an Intro to #IoTAnalytics at #IoTEvolution https://t.co/yUjDfMsqlc"""
747855783505858560,2016-06-28 18:14:47,b'Great piece by @ivervandezand for @digitalistmag on the need for broadest possible context and #integration for #IoT\nhttps://t.co/KihpjKXIy5'
747600591275311106,2016-06-28 01:20:45,b'Great article from @CIOonline on the many key fundamentals for IoT Analytics - https://t.co/8Hb2XwT5ah https://t.co/ef7AJTtkwV'
