id,created_at,text
854938552450170882,2017-04-20 06:03:29,"b'WATCH: As the countdown for #amecsummit in Asia begins, let\xe2\x80\x99s explore the host city, Bangkok! https://t.co/9lviUCq5kZ'"
854867063180935169,2017-04-20 01:19:25,"b'Content that Google and your readers will love, via @King_Content #SEO #ContentMarketing https://t.co/jOQt7PNdqr'"
854576500208566273,2017-04-19 06:04:49,b'RT @GC2018: The #GoldCoast will come to life for #GC2018. Be here to experience every moment. Plan your tickets today https://t.co/InGOElkP\xe2\x80\xa6'
854559917356703744,2017-04-19 04:58:55,b'The #socialmedia landscape in China is vastly different. Watch this #webinar to better understand... https://t.co/Ai6Jj1ygyT'
854536282332028928,2017-04-19 03:25:00,b'Keeping your brand up with the trend of #digitalstorytelling https://t.co/nsbSdVcHqI https://t.co/z4Zi05ty2X'
854522983947186176,2017-04-19 02:32:10,b'RT @rosepowell: Check out the @walkleys innovation longlist and discover the big four trends in Australian media innovation: https://t.co/q\xe2\x80\xa6'
854517995757985792,2017-04-19 02:12:21,b'Is personalisation an entry point into the world of dark social? https://t.co/6DdX77a2CW'
854471683826003968,2017-04-18 23:08:19,b'RT @AmecOrg: 4 days left at EarlyBird discount rate to book for the #amecsummit - the biggest PR measurement conf yet in Asia. https://t.co\xe2\x80\xa6'
854228189370920961,2017-04-18 07:00:45,"b'Traditional media outlets still wield immense power, Isentia research finds https://t.co/tdwsGx51Ve'"
854220095387705344,2017-04-18 06:28:36,"b'Why editors are an essential part of #digitalpublishing, via @king_content https://t.co/kVrAUQmeuY'"
854201325185253376,2017-04-18 05:14:00,"b'.@MissionAus confronts domestic violence in winter campaign, with @King_Content as Creative Agency\xe2\x80\xa6 https://t.co/gV8FJun3JS'"
854185409814843392,2017-04-18 04:10:46,"b""RT @AmecOrg: Don't miss the #amecsummit, biggest PR measurement conf to come to Asia yet. See our EarlyBird rate. https://t.co/5fev7VCVDA h\xe2\x80\xa6"""
854181121608765440,2017-04-18 03:53:43,"b""Isentia's @KHALIC shared research into breaking news &amp; what it means for communicators. Sign up for report\xe2\x80\xa6 https://t.co/b1FdR9y1Yw"""
853842482756440064,2017-04-17 05:28:06,b'How to secure your #Facebook business page https://t.co/JQDK7q1Rod https://t.co/zHXejVDolD'
853811801426771968,2017-04-17 03:26:11,"b'The narcissist\xe2\x80\x99s guide to audience-appropriate #content, via @King_Content https://t.co/dZsLttBjLB'"
853785828429922304,2017-04-17 01:42:58,b'RT @socialmedia2day: The Easy SEO Guide to Auditing Your Own Site [Infographic] (by @tarekriman) https://t.co/L6kYFir6Bu https://t.co/rXuCs\xe2\x80\xa6'
853762849193115648,2017-04-17 00:11:40,"b'#FacebookStories - are #socialmedia users delighted, or just left without a choice? https://t.co/sxjRirOuWy https://t.co/q82FPxPKGl'"
852516918409834496,2017-04-13 13:40:47,"b'RT @AmecOrg: Planning call with our great Headline Sponsor, @isentia today to agree final marketing push for #amecsummit. Thank you for you\xe2\x80\xa6'"
852391953807196161,2017-04-13 05:24:13,b'The top three #musicstreaming services in Indonesia and the potential for growth https://t.co/ncAwhMop7c https://t.co/LMF706uiLy'
852374992247324673,2017-04-13 04:16:49,"b'RT @socialmedia2day: Facebook has released a new educational resources for journalists, including notes on how to use their platforms https\xe2\x80\xa6'"
852366997862006784,2017-04-13 03:45:03,"b'Empowering consumers and avoiding #digital nightmares, via @king_content https://t.co/ea4l3Q3qCn https://t.co/xu55XUthaY'"
852042553100599296,2017-04-12 06:15:49,b'How brands can tell stories on #socialmedia https://t.co/byYcsLHw1e https://t.co/A17EsrP32x'
852023313492660224,2017-04-12 04:59:22,"b'Your content is only as good as your UX, via @King_Content #UserExperience https://t.co/7jXcKD5nFV'"
852003735714750464,2017-04-12 03:41:34,b'RT @GC2018: We want you at #GC2018! When ticket requests open 24 April remember they include your event day public transport https://t.co/H\xe2\x80\xa6'
851989056921763841,2017-04-12 02:43:15,"b'. @MissionAus launches touching homelessness campaign for winter, created with help from @King_Content https://t.co/zTbeWamoVo'"
851681096387379200,2017-04-11 06:19:31,"b""A glimpse at #Goblin, the K-drama that's got Indonesians talking https://t.co/EOppeh0gVk https://t.co/rXcdmlvwiD"""
851652171984588800,2017-04-11 04:24:35,b'RT @AmecOrg: You know you are going to come but have you registered for the @AmecOrg Global Summit and booked your room yet? https://t.co/h\xe2\x80\xa6'
851644725710868480,2017-04-11 03:55:00,"b'A framework for #content governance, via @King_Content https://t.co/tkUpIrGhMA https://t.co/aiIngO9jkW'"
851614985809674240,2017-04-11 01:56:49,b'Missed our latest #webinar? Watch: Weibo &amp; WeChat - Understanding Chinese #socialmedia https://t.co/c8LsUG7bjH'
851316181289979904,2017-04-10 06:09:28,b'RT @socialmedia2day: YouTube Announces New 10k Views Threshold Before Creators Can Monetize Content https://t.co/JTGeKrEx7P #socialmedia ht\xe2\x80\xa6'
